開學	kai1//xue2	verb school opens; term begins 九月一日開學。 Jiǔyuè yī rì kāixué. The term will begin on September 1.
清楚	qing1chu5	verb be clear about; understand 我真不清楚他為什麼這樣做。 Wǒ zhēn bù qīngchu tā wèishénme zhèyàng zuò. I really can’t understand why he has done this. 這個問題你清楚不清楚？ Zhège wèntí nǐ qīngchu bù qīngchu？ Do you understand this question or not?  adjective clear; distinct 發音清楚 fāyīn qīngchu have a clear pronunciation 頭腦清楚 tóunǎo qīngchu have a clear head 字跡清楚 zìjì qīngchu written in a clear hand 把工作交代清楚 Bǎ gōngzuò jiāodài qīngchu explain one’s job clearly on handing it over 他的話說得不清楚。 Tā de huà shuō de bù qīngchu. He didn’t speak clearly. or What he said was ambiguous. 大是大非問題要徹底弄清楚。 Dàshì-dàfēi wèntí yào chèdǐ nòng qīngchu. Major issues of principle must be thoroughly thrashed out.
位子	wei4zi5	noun 1 seat; place 靠窗的位子 kào chuāng dewèizi window seat 2 position 政府裡的重要位子 zhèngfǔ lǐ de zhòngyào wèizi an important position in the government
旁聽	pang2ting1	verb sit in at a meeting, or on a class, etc. 我明天旁聽你的課可以嗎？ Wǒ míngtiān pángtīng nǐ de kè kěyǐ ma? May I sit in on your lecture tomorrow?
分	fen1	verb 1 divide; separate; part (opp. 合) 分組討論 fēnzǔ tǎolùn hold discussions in groups 分階段實行 Fēn jiēduàn shíxíng carry out stage by stage 一年分四季。 Yī nián fēn sìjì. The year is divided into four seasons. 這藥分三次吃。 Zhè yào fēn sān cì chī. This medicine is to be taken in three separate doses. 他的頭髮往右邊分。 Tā de tóufa wǎng yòubianfēn. He parts his hair on the right side. 一條河把縣城分成兩半。 Yī tiáo hé bǎ xiànchéng fēn chéng liǎngbàn. A river divides the county town into two parts. 2 distribute; assign; allot 她分到了一套新房子。 Tā fēn dào le yī tào xīn fángzi. She has been allotted a new flat. 把這個任務分給我們吧。 Bǎ zhège rènwu fēn gěi wǒmen ba. Assign (or Give) this task to us, please. 音樂會的票都已經分完了。 Yīnyuèhuì de piào dōu yǐjing fēn wán le. The tickets for the concert have all been distributed. 大學畢業後, 他就分到外交部工作。 Dàxué bìyè hòu, tājiù fēn dào Wàijiāobù gōngzuò. After his graduation from college, he was assigned to work at the Foreign Ministry. 3 distinguish; differentiate 是非不分 shìfēibùfēn make no distinction between right and wrong 現在還分不出個勝負來。 Xiànzài hái fēn bù chū ge shèng-fù lái. It’s still quite impossible to tell who’ll win. 這對雙胞胎長得一模一樣, 簡直分不出誰是誰。 Zhè duì shuāngbāotāi zhǎng de yīmúyīyàng, jiǎnzhí fēn bù chū shuí shì shuí. The twins look so much alike that you can hardly tell them apart.  adjective branch (of an organization) 新華社上海分社 Xīnhuáshè Shànghǎi fēnshè the Shanghai Branch of the Xinhua News Agency  measure word 1 fraction 約分 yuēfēn reduction of a fraction 2 [in spoken forms of fractions and percentages] 三分之一 sānfēn zhīyī one-third 十分之七 shífēn zhī qī seven-tenths 百分之四 bǎifēn zhī sì four per cent 3 one tenth (of certain units of the metric system) 4 fen (of the traditional system of weights and measures) a a traditional unit of length, equal to 0.01 chi (市尺), and equivalent to 0.333 centimetre or 0.131 inch b a traditional unit of weight, equal to 0.001 jin (市斤), and equivalent to 0.5 gram or 0.175 ounce c a traditional unit of area, equal to 0.1 mu (市畝) and equivalent to 0.667 acre or 79.73 square yards d a unit of weight equal to 0.1 qian (錢) or 0.01 liang (兩) 5 fen (equal to one hundredth of a yuan (元)) 六元三角五分 liù yuán sānjiǎo wǔfēn 6.35 yuan 6 minute (equal to one sixtieth of an hour) 7 minute (equal to one sixtieth of a degree of angle or arc) 成 36 度 30分角 chéng 36 dù 30fēn jiǎo form an angle of 36 degrees 30 minutes (36°30′) 東經 129 度 15分 dōngjīng 129 dù 15 fēn 129 degrees 15 minutes (129°15′) east longitude 8 a unit of interest rate a 1% monthly interest 月利一分二釐. yuèlì yī fēn èr lí 1.2% monthly interest b 10% annual interest 年利一分二釐. niánlì yī fēn èr lí 12% annual interest 9 point; mark 六十分為及格。 Liùshí fēnwéi jígé. Sixty is the passing mark. 甲隊罰球連得二分。 Jiǎ duì fáqiú lián de èrfēn. Team A scored two successive points by free throws. 他今天考試得了一百分。 Tā jīntiān kǎoshì déle yībǎi fēn. He got full marks in today’s exam. 10 [for nonphysical things] one-tenth 七分成績, 三分錯誤 Qī fēn chéngjì, sānfēn cuòwù 70 per cent achievements, 30 per cent mistakes 他已經有三分醉了。 Tā yǐjing yǒu sānfēn zuì le. He’s a bit tipsy already. 我的牙痛好了幾分。 Wǒ de yátòng hǎo le jǐ fēn. My toothache has been partly relieved. 這消息使我多了一分希望。 Zhè xiāoxi shǐ wǒ duō le yī fēn xīwàng. The news raised my hopes a little.
羨慕	xian4mu4	verb admire; envy 她很羨慕我有這樣一個好丈夫。 Tā hěn xiànmù wǒ yǒu zhèyàng yī ge hǎo zhàngfu. She envies me my good husband.
休學	xiu1//xue2	verb suspend one's schooling without losing one's status as a student
用功	yong4gong1	verb (-//-) study hard 他在教室裡用功。 tā zài jiàoshì lǐ yònggōng. He is studying in the classroom.  adjective diligent; studious 讀書很用功 Dúshū hěn yònggōng be studious; be diligent in one’s studies
行	xing2	noun behaviour; conduct 品行 pǐnxíng moral conduct 言行 yánxíng words and deeds  verb 1 literary go; walk; travel 非洲之行 Fēizhōu zhī xíng a trip to Africa 日行百裡 rì xíng bǎi lǐ cover a hundred li a day 日行三千步 rì xíng sānqiān bù walk three thousand steps a day (for exercise) 兒行千里母擔憂。 Ér xíng qiān lǐ mǔ dānyōu. When children travel far from home, mothers never stop worrying. 2 be current; circulate 發行 fāxíng issue; publish; distribute; put on sale 3 do; perform; carry out 簡便易行 jiǎnbiàn yìxíng simple and easy to do 4 [before a disyllabic verb, indicating the performance of some action] 即行通知 jí xíng tōngzhī notify sb. at once 另行安排 lìngxíng ānpái make separate arrangements 5 be all right; will do 沒有鉛絲, 用繩子也行。 Méiyǒu qiānsī, yòng shéngzi yě xíng. If there is no wire, a cord will do. 你替我到郵局跑一趟, 行嗎？——行！ Nǐ tì wǒ dào yóujú pǎo yī tàng, xíng ma？ -- xíng! Would you run over to the post office for me? — OK! or All right! 在快車道上騎車可不行。 Zài kuàichēdào shàng qíchē kě bùxíng. Cycling along the motorway is not allowed. 咱們走著去, 行不行？ Zánmen zǒuzhe qù, xíng bù xíng？ Will it be all right if we go on foot? 6 (of medicine) take effect 感覺藥性已行 Gǎnjué yàoxìng yǐ xíng feel that medicine is taking effect  adjective 1 temporary; makeshift See 33510656行營xing2ying2行營;33511936行灶xing2zao4 行灶 2 capable; competent 不要認為只有自己才行。 Bùyào rènwéi zhǐyǒu zìjǐ cái xíng. Don’t think you’re the only capable one. 老王, 你真行！ Lǎo wáng, nǐ zhēn xíng! Lao Wang, you are really terrific (or something great)! 你看他幹這工作行嗎？ Nǐ kàn tā gàn zhè gōngzuò xíng ma？ Do you think he is up to it?  adverb literary soon 別來行復四年。 Bié lái xíng fù sì nián. It is four years since we parted.
轉	zhuan3	verb 1 turn; shift; change 轉敗為勝 zhuǎnbàiwéishèng turn defeat into victory; a turn around 轉弱為強 zhuǎnruòwéiqiáng go (or grow) from weak to strong 晴轉多雲 qíng zhuǎn duō yún fine then becoming cloudy; clear to cloudy 把工作重點轉到經濟建設上來 bǎ gōngzuò zhòngdiǎn zhuǎn dào jīngjì jiànshè shànglai shift the focus of work to building the economy 她轉過頭來和我說話。 Tā zhuǎn guò tóu lái hé wǒ shuōhuà. She spoke to me over her shoulder. 2 pass on; transfer 把錢從活期存款轉為定期存款 bǎ qián cóng huóqī cúnkuǎn zhuǎnwéi dìngqī cúnkuǎn transfer the money from a current to a fixed deposit account 把她的郵件轉寄到她的新地址 Bǎ tā de yóujiàn zhuǎn jì dào tā de xīn dìzhǐ forward her mail to her new address 這封信請你轉給他。 Zhè fēng xìn qǐng nǐ zhuǎngěi tā. Please pass the letter on to him.
原來	yuan2lai2	noun originally; formerly; at first 原來我抽煙, 現在不抽了。 yuánlái wǒ chōuyān, xiànzài bù chōu le. I used to smoke, but not now.  adjective original; former 原來的計劃 Yuánlái de jìhuà original plan 他還是住在原來的地方。 Tā hái shì zhù zài yuánlái de dìfang. He still lives in the same place.  adverb as a matter of fact; as it turns out; actually 原來是你呀！ Yuánlái shì nǐ ya! So it’s you. 這原來是個騙局。 Zhè yuánlái shì ge piànjú. It turned out to be a fraud. 你原來是這樣的朋友！ Nǐ yuánlái shì zhèyàng de péngyou! So that’s the kind of friend you are!
會計	kuai4ji4	noun 1 accounting 財務會計 cáiwù kuàiji financial accounting 成本會計 chéngběn kuàiji cost accounting 管理會計 guǎnlǐ kuàiji administrative accounting 稅務會計 shuìwù kuàiji tax accounting 預算會計 yùsuàn kuàiji budgetary accounting 2 bookkeeper; accountant
熱門	re4men2	noun arousing popular interest; popular; in great demand; hot (opp. 冷門兒) 趕熱門 Gǎn rèmén follow a craze
熬夜	ao2//ye4	verb stay up late or all night; sit up 熬夜苦幹 áoyè kǔgàn burn the midnight oil 熬一整夜 Áo yī zhěngyè stay up all night 這篇作文像是熬夜趕製的。 zhè piān zuòwén xiàng shì áoyè gǎnzhì de. This composition was probably rushed out overnight.
當	dang1	verb 1 work as; serve as; be 選他當組長 Xuǎn tā dāng zǔzhǎng elect him group leader 我長大要當飛行員。 Wǒ zhǎngdà yào dāng fēixíngyuán. I want to be a pilot when I grow up. 2 bear; accept; deserve 敢做敢當 gǎnzuògǎndāng dare to act and to take the consequences 我可當不起這樣的誇獎。 Wǒ kě dāng bù qǐ zhèyàng de kuājiǎng. I just don’t deserve such praise. 3 direct; manage; be in charge of See 19645696當家dang1jia1當家 4 [as aux.] ought to; should; must 能省的就省, 當用的還是得用。 Néng shěng de jiù shěng, dāng yòng de háishi dé yòng. Save what you can, but use what you must. 5 literary hold back; block See 31200768螳臂當車tang2bi4dang1che1螳臂當車  adjective equal See 26675200門當戶對men2dang1hu4dui4門當戶對  preposition 1 in sb.'s presence; to sb.'s face 咱當著大家談一談。 Zán dāng zhe dàjiā tán yī tán. Let’s speak out in the presence of everyone. 2 just at (a time or place) 當莫扎特四歲時, 就開始寫小步舞曲。 dāng mò zhā tè sì suìshí, jiù kāishǐ xiě xiǎobù wǔqǔ. When only four, Mozart was composing minuets.  onomatopoeia sound of a gong or a bell 當當的鐘聲 Dāng dāng de zhōngshēng the tolling of a bell  noun literary end 瓦當 wǎdāng eaves tile
恐怕	kong3pa4	verb fear; dread; be afraid of 他恐怕遲到, 一早就起來了。 Tā kǒngpà chídào, yīzǎo jiù qǐlai le. He got up very early for fear of being late.  adverb 1 [indicating an estimation and anxiety] for fear of 恐怕要下雨。 Kǒngpà yào xià yǔ. It looks like rain. 這樣做恐怕不行。 Zhèyàng zuò kǒngpà bùxíng. I’m afraid this won’t do. 2 [indicating an estimation] perhaps; probably; maybe 他走了恐怕有十來天了。 Tā zǒu le kǒngpà yǒu shí lái tiān le. It’s been almost ten days since he left.
口才	kou3cai2	noun eloquence 口才不錯 kǒucái bùcuò be an eloquent speaker
事	shi4	noun 1 matter; affair; thing; business 國家大事 guójiā dàshì state affairs 這事兒不好辦。 zhè shì r bù hǎobàn. This matter is hard to manage. 這是怎麼回事兒？ Zhè shì zěnme huí shì r? What’s this all about? or What’s happening? 2 trouble; accident 出事 chūshì meet with a mishap; have an accident 3 job; work 她找到事兒了。 Tā zhǎo dào shìr le. She’s got a job. or She’s found a job. 4 responsibility; involvement 沒你的事。 Méi nǐ de shì. It’s none of your business. 這件案子裡還有他的事兒呢。 Zhè jiàn ànzi lǐ hái yǒu tā deshì r ne. He was involved in this case too. 有我什麼事兒, 幹嗎怪我？ Yǒu wǒ shénmeshì r, gànmá guài wǒ? I had nothing to do with it, so why blame me?  verb literary 1 wait upon; serve 事父母 shì fùmǔ wait upon one’s parents 2 be engaged in 不事營生 bù shì yíngsheng lead an idle life
遲到	chi2//dao4	verb be (or come, arrive) late 遲到五分鐘 chídào wǔ fēnzhōng be five minutes late 他上班從不遲到。 Tā shàngbān cóngbù chídào. He has never been late for work. or He is always on time for work.
差一點	cha4yi1dian3	1 almost 2 nearly
沒辦法	mei2 ban4fa3	verb colloquial can do nothing about it; can't help it; there is no way out 我拿他沒法子。 Wǒ ná tā méifǎzi. I can do nothing with him.
// 3.1 - 2
獨生女	du2sheng1nü3	noun only daughter
私立	si1li4	adjective privately run; private (opp. 公立)  verb establish and run privately
理想	li3xiang3	noun ideal; dream; aspiration 實現遠大理想 shíxiàn yuǎndà lǐxiǎng realize one’s ambitious aims 樹立崇高理想 shùlì chónggāo lǐxiǎng establish lofty ideal 在現實面前, 他的理想都破滅了。 Zài xiànshí miànqián, tā de lǐxiǎng dōu pòmiè le. All his ideals were destroyed by actualities.  adjective ideal; perfect 理想效果 lǐxiǎng xiàoguǒ optimum effect 理想的伴侶 lǐxiǎng de bànlǚ ideal companion 考得不夠理想 kǎo de bùgòu lǐxiǎng didn’t do well in the exam 在理想狀態下 zài lǐxiǎng zhuàngtài xià in an ideal environment 野餐的理想天氣 yěcān delǐxiǎng tiānqì perfect weather for a picnic
合	he2	verb 1 close; shut 把書合上 Bǎ shū hé shàng close the book 笑得合不上嘴 xiào de hé bù shàng zuǐ grin from ear to ear 2 join; combine (opp. 分) 合到一起 hé dào yīqǐ join together 3 suit; agree 合胃口 hé wèikǒu suit one’s taste; to one’s taste 正合我意。 Zhènghéwǒyì. It suits me fine. 4 be equal to; add up to 一公頃合十五市畝。 Yī gōngqǐng hé shíwǔ shì mǔ. A hectare is equal to fifteen mu. 這件上衣連工帶料合多少錢？ Zhè jiàn shàngyī lián gōng dài liào hé duōshao qián？ How much will this coat cost, including material and tailoring? 5 literary be proper 理合聲明。 Lǐhé shēngmíng. I deem it appropriate to make a statement.  noun 1 literary match; marriage; spousing 天作之合 tiānzuòzhīhé heaven-made match 2 astronomy conjunction  adjective whole 合村 hé cūn the whole village  measure word VARIANT OF 23125760回合hui2he2回合  noun music note of the scale in gongchepu (工尺譜), corresponding to 5 in numbered musical notation See 21653504工尺gong1che3工尺/ gě
痛苦	tong4ku3	noun pain; suffering; agony 精神上的痛苦 jīngshén shàng de tòngkǔ mental agony 關心病人的痛苦 Guānxīn bìngrén de tòngkǔ be aware about the sufferings of the patient 我得離開老家, 感到很痛苦。 Wǒ děi líkāi lǎojiā, gǎndào hěn tòngkǔ. It pains me to have to leave my home.
科系	ke1xi4	department
放棄	fang4qi4	verb abandon; give up; renounce 放棄原則 fàngqì yuánzé forsake one’s principles 放棄表決權 fàngqì biǎojuéquán abstain from voting 放棄原有計劃 fàngqì yuányǒu jìhuà abandon the original plan
不管	bu4guan3	verb take no care of; not look after 他整天忙, 從來不管孩子。 Tā zhěngtiān máng, cónglái bùguǎn háizi. He is always busy and never has time to care for his child. 他對公司裡的事不管不顧。 Tā duì gōngsī lǐ de shì bùguǎn bù gù. He has no interest in what’s going on in the company.  conjunction regardless of; no matter (what, who, etc.) 不管多大的困難, 我們都能克服。 bùguǎn duō dà de kùnnan, wǒmen dōu néng kèfú. We can overcome any difficulty, however great. 不管他來不來, 我們(都)得走了。 bùguǎn tā lái bù lái, wǒmen děi zǒu le. Regardless of whether he comes or not, we’ve got to leave. 不管怎樣我不想去。 Bùguǎnzěnyàng wǒ bù xiǎng qù. In any case I don’t want to go.
反對	fan3dui4	verb oppose; be against; fight; combat (opp. 贊成) 反對官僚主義 fǎnduì guānliáozhǔyì combat bureaucracy 反對貪污浪費 fǎnduì tānwū làngfèi fight against corruption and waste 反對種族歧視 Fǎnduì zhǒngzú qíshì oppose racial discrimination 有反對意見嗎？ Yǒu fǎnduì yìjian ma？ Any objections? 我反對這個提議。 Wǒ fǎnduì zhège tíyì. I am against this proposal. 這門親事遭到全家反對。 Zhè mén qīnshì zāodào quánjiā fǎnduì. The marriage was opposed by the whole family.
個性	ge4xing4	noun 1 (of a person) individual character; individuality; personality 個性強 gèxìng qiáng be of strong character 個性解放 gèxìng jiěfàng liberation of the self; liberation of individual personality 2 philosophy (of things in general) particularity 共性和個性 Gòngxìng hé gèxìng general and specific character of sth.; universality and particularity
活潑	huo2po5	adjective 1 lively; vivacious; vivid (opp. 呆板) 活潑的孩子 huópo de háizi lively children 文字活潑 wénzì huópo lively written style 2 chemistry reactive
外語	wai4yu3	noun foreign language 外語系 wàiyǔxì department of foreign languages
擔心	dan1//xin1	verb worry; feel anxious 我真擔心她的健康。 Wǒ zhēn dānxīn tā de jiànkāng. I do worry about her health. 快給老大娘寫信, 免得她擔心。 Kuài gěi lǎodàniáng xiěxìn, miǎnde tā dānxīn. Write to the old lady at once so as to set her mind at rest.
填	tian2	verb 1 fill; stuff 填枕芯 tián zhěn xīn stuff a pillow 往坑裡填土 Wǎng kēng lǐ tián tǔ fill a pit with earth 2 write; fill in 填表(格) tián biǎo fill in a form 別填錯日期。 Bié tián cuò rìqī. Don’t fill in the wrong date.
表	biao3	noun 1 surface; outside; external 月表 yuèbiǎo the moon’s surface 2 the relationship between the children or grandchildren of a brother and a sister, or of sisters See 17654528表哥biao3ge1表哥 3 model; example 為人師表 wéirénshībiǎo worthy of the name of teacher See 17664256表率biao3shuai4表率 4 memorial to an emperor 諸葛亮《出師表》 Zhūgě Liàng 《Chūshī Biǎo》 Zhuge Liang’s “Memorial on Going to War” 5 table; form; list; chart 造表 zàobiǎo draw up a table; write out a list 登記表 dēngjì biǎo registration form 價目表 jiàmùbiǎo price list  verb 1 show; express 表決心 biǎojué xīn express (or declare) one’s determination 深表同情 shēnbiǎo tóngqíng show deep sympathy 以表敬意 yǐ biǎo jìngyì as a small token of one’s respect 2 Chinese medicine administer medicine to bring out the cold  noun 1 ornamental columns (in front of a palace or tomb) 2 gnomon (needle) of a sundial
手續	shou3xu4	noun procedures; formalities; process 手續不完備 shǒuxù bù wánbèi uncompleted formalities 辦手續 Bàn shǒuxù go through formalities; complete formalities 法律手續 fǎlǜ shǒuxù legal formalities 行政手續 xíngzhèng shǒuxù administrative formalities
辦	ban4	verb 1 do; handle; manage; tackle; attend to 代辦 dàibàn act on sb.’s behalf; act for sb. 你看著辦吧。 Nǐ kànzhe bàn ba. Do whatever you think is best. 缺少經費, 這事兒沒法辦。 quēshǎo jīngfèi, zhè shìr méifǎ bàn. Without the necessary funds the job is impossible. 我該怎麼辦？ Wǒ gāi zěnme bàn？ What shall I do? 我有點兒事得辦一辦。 Wǒ yǒudiǎnr shì děi bàn yī bàn. I have something to attend to. 這點兒事她一個人辦得了。 Zhèdiǎnr shì tā yī gèrén bàndeliǎo. She can handle (or tackle) this by herself. 2 buy a fair amount of; get sth. ready 辦酒席 bàn jiǔxí prepare a feast 辦年貨 bàn niánhuò New Year shopping; go shopping for the Spring Festival 他們剛辦完喜事。 Tāmen gāng bàn wán xǐshì. They recently got married. 3 set up; run 辦工廠 Bàn gōngchǎng run a factory 辦教育 bàn jiàoyù be involved in education 村里新辦了一所學校。 Cūnli xīn bàn le yī suǒ xuéxiào. The village has set up a new school. 4 colloquial punish (by law); bring to justice 辦了幾個為首的 Bàn le jǐ ge wéishǒu de punish the ringleaders
申請	shen1qing3	verb apply for; file an application 申請破產 shēn qǐng pò chǎn file for bankrupcy; petition for bankruptcy 申請入黨 shēnqǐng rùdǎng apply for Party membership 申請調動工作 shēnqǐng diàodòng gōngzuò apply for a transfer; ask for a transfer; ask to be transferred to another job 申請法律援助 shēnqǐng fǎlǜ yuánzhù apply for legal aid 申請入境簽證 shēnqǐng rùjìng qiānzhèng apply for an entry visa 申請出境簽證 shēnqǐng chūjìng qiānzhèng apply for an exit visa 申請註冊域名 shēnqǐng zhùcè yùmíng domain name application and registration 向……申請 xiàng … shēnqǐng make an application to; lodge (or file) an application with; present a petition to
成績單	cheng2ji4dan1	school report; report card; transcript
考上	kao3shang4	to pass a university entrance exam
推薦信	tui1jian4xin4	recommendation letter
// 3.2 - 1
外套	wai4tao4	noun 1 overcoat 2 loose coat; outer garment
一般	yi1ban1	adjective 1 same as; just like 他們倆一般高。 Tāmen liǎ yībān gāo. The two of them are of the same height. 火車飛一般地馳去。 Huǒchē fēi yībān de chí qù. The train flashed past like lightning. 2 general; ordinary; common 一般規律 yībān guīlǜ universal law; general rule 一般說來 yībān shuōlái generally speaking 一般的做法 yībān de zuòfǎ common practice 一般性辯論 yībānxìng biànlùn general debate 從一般到具體 cóng yībān dào jùtǐ from generalities to particulars 3 average; mediocre 很一般 Hěn yībān just so-so 這部小說寫得一般。 Zhè bù xiǎoshuō xiě de yībān. This novel is only mediocre. or There’s nothing striking about this novel.  noun one kind 別有一般滋味 bié yǒu yībān zīwèi have some indescribable taste
商品	shang1pin3	noun commodity; goods; merchandise 商品一條街 shāngpǐn yī tiáo jiē shopping street
折扣	zhe2kou4	noun discount; rebate 執行指示不打折扣 Zhíxíng zhǐshì bù dǎ zhékòu carry out instructions to the letter; strictly follow orders 這價錢已經打了折扣。 zhè jiàqian yǐjing dǎ le zhékòu. This is the discounted price.
省	sheng3	verb 1 economize; save (opp. 費) 省勁 shěngjìn save effort or labour 省著點兒用 shěng zhe diǎnr yòng use sparingly 省掉 (= 省去) 不少麻煩 shěng diào  bùshǎo máfan save a lot of trouble 能省就省 néng shěng jiù shěng economize wherever possible 我一個月省不下幾個錢。 Wǒ yī ge yuè shěng bù xià jǐ ge qián. I can’t save much from my monthly wages. 2 omit; leave out 省一道工序 Shěng yī dào gōngxù eliminate one step from the process 這兩個字不能省。 Zhè liǎng ge zì bù néng shěng. These two words cannot be omitted.  noun literary abbreviation (of words) “佛”是“佛陀”之省。 “Fó” shì “Fótuó” zhī shěng. 佛 is an abbreviation of 佛陀.  noun 1 province 省報 shěng bào provincial newspaper 省長 shěngzhǎng governor of a province 省軍區 shěng jūn qū provincial military command 省轄市 Shěng xiá shì municipality directly under a provincial jurisdiction 省政府 shěngzhèngfǔ provincial government 省人民代表大會 shěng rénmín dàibiǎo dàhuì provincial people’s congress 江蘇省 Jiāngsū shěng Jiangsu Province 2 provincial capital 抵省 dǐ shěng arrive in the provincial capital
牌子	pai2zi5	noun 1 plate; sign 存車牌子 cún chē páizi tally (for parking a bicycle, motorbike, etc.) 2 billboard (for notices, advertisements, or slogans) 3 brand; trademark 老牌子 lǎopáizi old brand; well-known brand 4 title of a ci or qu poem; name of a ballad tune
品質	pin3zhi4	noun 1 character; intrinsic quality 道德品質 dàodé pǐnzhì moral character; moral fibre 2 quality (of commodities, etc.) 品質優良 pǐnzhì yōuliáng of the best quality
