// 3.2 - 1
外套	wai4tao4	noun 1 overcoat 2 loose coat; outer garment
短	duan3	adjective short; brief (opp. 長) 開個短會 Kāi ge duǎn huì have a brief meeting 這條路最短。 Zhè tiáo lù zuì duǎn. This is the shortest way. 冬季日短夜長。 Dōngjì rì duǎn yè cháng. In winter, the days are short and the nights long. 她頭髮剪得短短的。 Tā tóufa jiǎn de duǎnduǎn de. She had her hair cut short. or Her hair is cut short. 我給他寫了封短信。 Wǒ gěi tā xiě le fēng duǎn xìn. I dropped him a few lines.  verb lack; owe 一個月短兩天 yī ge yuè duǎn liǎng tiān two days short of a month; a month less two days 短你三塊錢。 Duǎn nǐ sān kuài qián. I owe you three yuan. 別人都來了, 就短他一個。 Biéren dōu lái le, jiù duǎn tā yī ge. All the others are here; only he’s missing.  noun weak point; fault; failing 揭短 jiēduǎn expose sb.’s shortcomings (or weaknesses)
羊毛	yang2mao2	noun wool; fleece 羊毛皮 yángmáopí woolfell 羊毛條 yángmáo tiáo wool tops
暖和	nuan3huo5	verb warm up 屋裡有火, 快進來暖和暖和吧！ Wū lǐ yǒu huǒ, kuài jìnlai nuǎnhuo nuǎnhuo ba! There is a fire here; come in and warm yourself.  adjective (of weather, environment, etc.) warm; mild 爐子一著, 屋子就暖和了。 Lúzi yī zhe, wūzi jiù nuǎnhuo le. The room warmed up after the stove got going.
打折	da3//zhe2	verb give a discount 打五折出售 dǎ wǔ zhé chūshòu sell at a 50% discount
原價	yuan2jia4	noun original price; prime cost 按原價打九折出售 Àn yuánjià dǎ jiǔzhé chūshòu sell at 10% off; give a 10% discount on the marked price
刷卡	shua1//ka3	verb swipe a card (on a magnetic card reading machine) 刷卡消費 shuākǎ xiāofèi pay by (credit) card
現金	xian4jin1	noun 1 ready money; cash 現金短缺 xiànjīn duǎnquē short of cash 現金過剩 xiànjīn guòshèng surplus of cash 2 cash reserve in a bank
麻煩	ma2fan5	adjective troublesome; inconvenient 麻煩事 má fan shì tricky matter; sticky job 如果對你不太麻煩的話 Rúguǒ duì nǐ bùtài máfan dehuà if it is not too inconvenient for you 手續很麻煩。 Shǒuxù hěn máfan. These formalities are troublesome. 這事要是太麻煩, 你就別管了。—— 一點兒也不麻煩。 zhè shì yàoshi tài máfan, nǐ jiù bié guǎn le. —— Yīdiǎnr yě bù máfan. Don’t bother if it’s too much trouble.—No trouble at all. 這下可麻煩了, 我把鑰匙鎖在屋裡了。 Zhè xià kě máfan le, wǒ bǎ yàoshi suǒ zài wū lǐ le. What a nuisance! I’ve locked my key in the room.  noun trouble; inconvenience 麻煩還在後頭呢！ Máfan hái zài hòutou ne! There will be more trouble to come. 這類麻煩我經歷過不少。 Zhè lèi máfan wǒ jīnglì guò bùshǎo. I’ve been through lots of troubles.  verb inconvenience sb.; trouble sb.; bother 對不起, 太麻煩你了。 Duìbuqǐ, tài máfan nǐ le. Sorry to have put you to so much trouble. 這點小事不要去麻煩他了。 Zhè diǎn xiǎoshì bù yào qù máfan tā le. Don’t bother him with such trifles.
簽名	qian1ming2	verb (-//-) sign one's name; autograph 簽名蓋章 qiānmíng gàizhāng sign and affix one’s seal; set one’s hand and seal to 親筆簽名的照片 qīnbǐ qiānmíng de zhàopiàn an autographed picture 她請電影明星在本子上簽了個名。 Tā qǐng diànyǐng míngxīng zài běnzi shàng qiān le ge míng. She asked the movie star to sign his autograph in her notebook.  noun signature; autograph 為請願書集取到一萬份簽名 wèi qǐngyuànshū jí qǔ dào yīwàn fèn qiānmíng collected 10,000 signatures for the petition
破洞	po4dong4	a hole
發票	fa1piao4	noun invoice 開一張發票 Kāi yī zhāng fāpiào make an invoice
弄	nong4	verb 1 play with; fool with 小孩子愛弄沙土。 Xiǎoháizi ài nòng shātǔ. Children like to play in the sand. 你別弄鬧鐘了。 Nǐ bié nòng nàozhōng le. Stop playing with that alarm clock. 2 do; manage; handle; get sb. or sth. into a specified condition 弄飯 nòngfàn prepare a meal; cook 他把衣服弄髒了。 Tā bǎ yīfu nòng zāng le. He got his clothes dirty. 弄得不好, 就會前功盡棄。 Nòng de bù hǎo, jiù huì qiángōngjìnqì. If we don’t do well now, all our previous work will be wasted. 他這一說反把我弄糊塗了。 Tā zhè yī shuō fǎn bǎ wǒ nòng hútu le. His explanation only confused me more. 我來不及了, 你幫我弄弄吧。 Wǒ láibují le, nǐ bāng wǒ nòng nòng ba. I’m short of time so please do it for me. 有些問題還需要弄清楚。 Yǒuxiē wèntí hái xūyào nòng qīngchu. Certain questions remain to be clarified. 3 get; fetch 你去弄點兒水來。 Nǐ qù nòng diǎnr shuǐ lái. Go and get some water. 4 play 弄手段 nòng shǒuduàn play tricks
退	tui4	verb 1 move back; retreat (opp. 進) 退一步說 tuì yī bù shuō even if that is so; even so 敵人已經退了。 Dírén yǐjing tuì le. The enemy has retreated. 他往後退了幾步。 Tā wǎng hòu tuì le jǐ bù. He stepped back a few paces. or He backed up several steps. 2 cause to move back; withdraw; remove 把子彈退出來 bǎ zǐdàn tuì chūlai remove a cartridge from the breech of a gun; unload a gun 3 withdraw from; quit See 31861248退黨tui4dang3退黨 4 decline; recede; ebb 潮水退了。 Cháoshuǐ tuì le. The tide has receded. or The tide is on the ebb. 5 fade See 31867392退色tui4shai3退色 tuì//shǎi 6 return; give back; refund 空瓶不退。 Kōng píng bù tuì. Empty bottles are not refundable. 把這份禮退掉。 Bǎ zhè fèn lǐ tuì diào. Return this gift. 7 cancel; break off 退掉訂貨 Tuì diào dìnghuò cancel an order (for merchandise)
換	huan4	verb 1 exchange; barter; trade 用石油換工業品 Yòng shíyóu huàn gōngyèpǐn exchange (or barter) oil for industrial products 用鮮血換來的教訓 yòng xiānxuè huàn lái de jiàoxun lesson paid in blood 2 change 換衣服 huàn yīfu change one’s clothes 他換工作了嗎？ Tā huàn gōngzuò le ma？ Has he changed his job? 出去走一下, 換換腦筋。 Chūqu zǒu yī xià, huàn huàn nǎojīn. Let's go for a walk and give our minds a rest. 3 exchange; convert 把美元換成人民幣 Bǎ Měiyuán huàn chéng rénmínbì convert (or change) US dollars into Renminbi 4 colloquial transplant (an organ) 換腎 huànshèn transplant a kidney 5 colloquial transfuse (blood)
店長	dian4zhang3	store manager
週年	zhou1nian2	noun anniversary 五十週年紀念 wǔshí zhōunián jìniàn golden jubilee 一百週年 yībǎi zhōunián centenary 二十五週年紀念 èrshíwǔ zhōunián jìniàn silver jubilee 建廠十五週年 Jiànchǎng shíwǔ zhōunián the 15th anniversary of the founding of the factory
一般來說	yi1ban1lai2shuo1	generally speaking
試穿	shi4chuan1	try on (a garment, shoes, etc.)
弄丟	nong4diu1	to lose
// 3.2 - 2
購物	gou4wu4	verb shop; visit shops (to buy things) 去購物 qù gòuwù go shopping; do (one’s) shopping
糾紛	jiu1fen1	noun dispute; issue 家庭糾紛 jiātíng jiūfēn household quarrel 調解糾紛 tiáojiě jiūfēn mediate a dispute 挑起糾紛 tiǎoqǐ jiūfēn stir up trouble; cause mischief; provoke 無原則的糾紛 wú yuánzé dejiūfēn unprincipled dispute 國與國之間的糾紛 guó yǔ guó zhījiān de jiūfēn disputes between countries
電信	dian4xin4	noun telecommunications
門市	men2shi4	noun retail sales
居留證	ju1liu2zheng4	residence permit
型	xing2	noun 1 metallurgy mould 砂型 shāxíng sand mould 2 model; type; pattern 人類血液分為Ｏ型, Ａ型, Ｂ型和 ＡＢ型四種血型。 Rénlèi xuèyè fēnwéi Oxíng, Axíng, Bxíng hé ABxíng sì zhǒng xuèxíng. Human blood is classified into four blood types (or blood groups), namely, type O, type A, type B and type AB.
並	bing4	verb stand (or place) side by side 竝生 bìng shēng grow together; coexist  adverb 1 side by side; equally; simultaneously 竝案處理 bìng àn chǔlǐ deal with cases at one and the same time 2 [used to reinforce a negative] actually; definitely 你以為他傻, 其實他竝不傻。 nǐ yǐwéi tā shǎ, qíshí tā bìng bù shǎ. You thought he was foolish, but actually he isn’t. 3 classical even 竝此淺易之理亦不能明 bìng cǐ qiǎnyì zhī lǐ yì bùnéng míng cannot understand even a simple truth like that  conjunction and; besides 我完全同意竝擁護這個報告。 Wǒ wánquán tóngyì bìng yōnghù zhège bàogào. I fully agree with and endorse this report.
包括	bao1kuo4	verb include; consist of; comprise; incorporate 報價中不包括運費。 bàojià zhōng bù bāokuò yùnfèi. Carriage is not included in the quotation. 房租每月四百元, 水電費包括在內。 Fángzū měi yuè sìbǎi yuán, shuǐ-diànfèi bāokuò zàinèi. The rent is 400 yuan a month, including water and electricity. 他的報告包括三個方面。 Tā de bàogào bāokuò sān ge fāngmiàn. His report touched on three aspects. 我們的設計已經包括了你們的意見。 Wǒmen de shèjì yǐjing bāokuò le nǐmen de yìjian. Our design has incorporated your suggestions.
解釋	jie3shi4	verb explain; expound; interpret 解釋法律 jiěshì fǎlǜ interpret laws 解釋新詞 jiěshì xīncí explain a new word 對這件事你怎樣解釋？ Duì zhè jiàn shì nǐ zěnyàng jiěshì? How do you account for this? 這些事實不能有別的解釋。 Zhèxiē shìshí bù néng yǒu bié de jiěshì. The facts admit of no other explanation. 這是誤會, 解釋一下就行了。 Zhè shì wùhuì, jiěshì yīxià jiù xíng le. This is a misunderstanding. A little explanation will clear it up. 河水的流動可以用重力原理來解釋。 Héshuǐ de liúdòng kěyǐ yòng zhònglì yuánlǐ lái jiěshì. The flow of river water is explained by the principle of gravity. 對本協定在解釋上遇有分岐, 應以中文本為準。 Duìběn xiédìng zài jiěshì shàng yù yǒufèn qí, yīng yǐ Zhōngwén běn wéi zhǔn. In case of divergence of interpretation of this agreement, the Chinese text shall prevail.
顧客	gu4ke4	noun customer; shopper; client 顧客至上。 Gùkèzhìshàng. Customers First. or The customer is always right.
尤其	you2qi2	adverb especially; particularly 講話的第一部分尤其重要。 Jiǎnghuà de dì-yī bùfen yóuqí zhòngyào. The first part of the speech is particularly important. 多喝酒對身體不好, 尤其影響心臟。 Duō hē jiǔ duì shēntǐ bù hǎo, yóuqí yǐngxiǎng xīnzàng. Heavy drinking is harmful to health, especially to the heart.
騙	pian4	verb 1 deceive; fool; hoodwink; cheat 受騙 shòupiàn be taken in; deceived 這種花招騙不了人。 Zhèzhǒng huāzhāo piànbuliǎo rén. Nobody will be fooled by such tricks. 2 cheat; swindle 騙錢 piànqián cheat sb. out of their money; defraud  verb swing (or leap) into the saddle; mount (a horse)
頓	dun4	verb 1 pause 他頓了一下, 又接著往下說。 Tā dùn le yīxià, yòu jiēzhe wǎng xià shuō. He paused a moment and then went on speaking. 2 calligraphy pause with the brush in order to reinforce the beginning or ending of a stroke 3 arrange; settle 安頓 āndùn help settle down 4 dated touch the ground (with one's head) 頓首 dùnshǒu kowtow 5 stamp (one's foot) 頓足 dùnzú stamp  adverb literary suddenly; immediately 頓感傷悲 dùn gǎn shāngbēi gripped by a feeling of sadness  measure word [indicating frequency] 說了他一頓 shuō le tā yī dùn give him a dressing down 一天三頓飯 yī tiān sān dùn fàn three meals a day  adjective fatigued; tired 勞頓 láodùn weary
辦法	ban4fa3	noun way; means; measure 嘗試一切辦法 Chángshì yīqiè bànfǎ try every means 用切實的辦法來改進工作 yòng qièshí debànfǎ lái gǎijìn gōngzuò adopt effective measures to improve our work 找到克服困難的辦法 zhǎodào kèfú kùnnan debànfǎ find a way to overcome a difficulty 借錢不是個辦法。 Jiè qián bù shì ge bànfǎ. Borrowing money is no way out. 你說的辦法可以考慮。 Nǐ shuō de bànfǎ kěyǐ kǎolǜ. What you propose is worth considering. 他辦法很多。 tā bànfǎ hěn duō. He is resourceful. 我們總得想個辦法把它完成。 Wǒmen zǒng děi xiǎng ge bànfǎ bǎ tā wánchéng. We must finish this by some means or other.
自動	zi4dong4	adjective automatic 自動延長 Zìdòng yáncháng (of a lease, etc.) automatic extension 自動音量控制 zìdòng yīnliàng kòngzhì automatic volume control  adverb voluntarily; of one's own accord 自動幫忙 zìdòng bāngmáng volunteer to help 自動參加 Zìdòng cānjiā participate voluntarily 自動交待 zìdòng jiāodài make a voluntary confession; confess of one’s own accord
關機	guan1//ji1	verb 1 (of a computer, etc.) shut down 2 (of a mobile phone) power off
修理	xiu1li3	verb 1 repair; mend; overhaul; fix 修理機器 xiūlǐ jīqì repair (or fix) a machine 正在修理 zhèng zài xiūlǐ be under repair 當場修理, 立等可取。 Dāngchǎng xiūlǐ, lìděngkěqǔ. Repairs done while you wait. 修理地球 xiūlǐ dìqiú humorous cultivate the land; farming 2 prune; trim 3 dialect punish
繳費	jiao3fei4	pay (money)
預付	yu4fu4	verb pay in advance; prepay; make an advance 預付半年房租 yùfù bànnián fángzū pay the rent six months in advance
卡	ka3	measure word abbreviation VARIANT OF 24775680卡路里ka3lu4li3卡路里 transliteration physics calorie (unit) (cal) 卡攝入 kǎ shè rù calorie intake 大卡 dàkǎ grand calorie  noun 1 abbreviation VARIANT OF 24776192卡片ka3pian4卡片 card 2 card (abbreviation for 信用卡 credit card, 電話卡 phone card, etc.) 卡號 kǎ hào card number 3 cassette 雙卡錄音機 shuāngkǎ lùyīnjī double-cassette recorder 4 abbreviation VARIANT OF 24774656卡車ka3che1卡車 lorry; truck 十輪大卡 shí lún dà kǎ ten-wheeled truck
換成	huan4cheng2	1 to exchange (sth) for (sth else) 2 to replace with 3 to convert into
吃到飽	chi1dao4bao3	1 (Tw) all-you-can-eat (food) 2 (fig.) unlimited usage (digital services etc)
嚇一跳	xia4yi1tiao4	1 startled 2 to frighten 3 scared out of one's skin
客服	ke4fu2	verb abbreviation customer service
中心	zhong1xin1	noun centre; heart; core; hub 在廣場中心 zài guǎngchǎng zhōngxīn at the centre of the square 陸路交通的中心 lùlù jiāotōng de zhōngxīn hub for overland communications 抓住問題的中心 zhuāzhù wèntí de zhōngxīn get to the heart of the matter
// 3.3 - 1
空氣	kong1qi4	noun 1 air 濕空氣 Shīkōngqì moist air 山上空氣稀薄。 Shān shàng kōngqì xībó. Up in the mountains the air is thin. 2 atmosphere 會場上空氣緊張。 Huìchǎng shàng kōngqì jǐnzhāng. A tense atmosphere pervaded the meeting. 這裡的政治空氣很濃厚。 Zhèlǐ de zhèngzhì kōngqì hěn nónghòu. People here take a great interest in politics.
影響	ying3xiang3	noun influence; effect 產生巨大影響 chǎnshēng jùdà yǐngxiǎng exert a tremendous influence; produce a great impact 月亮對潮汐的影響 yuèliang duì cháoxī de yǐngxiǎng influence of the moon on the tides 這篇文章很有影響。 Zhè piān wénzhāng hěn yǒu yǐngxiǎng. This article is making a strong impact.  verb affect; influence 影響工作 yǐngxiǎng gōngzuò interfere with one’s work 影響威信 yǐngxiǎng wēixìn lower (or undermine) one’s prestige 影響質量 yǐngxiǎng zhìliàng impair the quality 影響工程進度 yǐngxiǎng gōngchéng jìndù hold up the project 影響群眾的積極性 yǐngxiǎng qúnzhòng de jījíxìng chill (or dampen) the enthusiasm of the masses 用自己的榜樣去影響孩子 Yòng zìjǐ de bǎngyàng qù yǐngxiǎng háizi try to influence children by personal example 別影響他複習功課。 Bié yǐngxiǎng tā fùxí gōngkè. Don’t disturb him while he is reviewing his lessons. 燈光不好會影響演出效果。 Dēngguāng bù hǎo huì yǐngxiǎng yǎnchū xiàoguǒ. Poor lighting will spoil the stage effect.  adjective dated groundless; hearsay; gossip 影響之談 Yǐngxiǎng zhī tán speaking from hearsay
穩定	wen3ding4	adjective stable; steady 情緒穩定 Qíngxù wěndìng be in a calm, unruffled mood; steady mood 保持穩定和繁榮 Bǎochí wěndìng hé fánróng maintain stability and prosperity 不穩定的國際金融市場 bù wěndìng de guójì jīnróng shìchǎng fluctuating international financial market  verb stabilize; steady 穩定情緒 Wěndìng qíngxù calm down; set sb.’s mind at rest; reassure sb. 穩定物價 wěndìng wùjià stabilize commodity prices
幸虧	xing4kui1	adverb fortunately; luckily; as luck would have it 幸虧你提醒我, 不然我就忘了。 Xìngkuī nǐ tíxǐng wǒ, bùrán wǒ jiù wàng le. I’m happy you reminded me; otherwise I would have forgotten all about it. 我幸虧走得早, 才沒叫雨淋了。 Wǒ xìngkuī zǒu de zǎo, cái méi jiào yǔ lín le. Luckily I left early and wasn’t caught in the rain.
躲	duo3	verb 1 hide (oneself) 躲進深山老林 duǒ jìn shēnshān lǎo lín hide in a mountain forest 你快躲起來！ Nǐ kuài duǒ qǐlai! Quick, hide yourself! 我去躲在門背後。 Wǒ qù duǒ zài mén bèihòu. I’ll hide behind the door. 2 avoid; dodge 車來了, 快躲開！ Chē lái le, kuài duǒkai! Look out! A car’s coming! or Watch out for the car! 你怎麼老躲著他？ Nǐ zěnme lǎo duǒ zhe tā？ Why do you keep avoiding him?
度	du4	noun 1 linear measure See 20325888度量衡du4liang4heng2度量衡 2 degree of intensity 濕度 shīdù humidity 硬度 yìngdù hardness 3 limit; extent; degree 將玻璃管加熱, 以能彎曲為度。 Jiāng bōli guǎn jiārè, yǐ néng wānqū wéi dù. Heat the glass tube to the point that it can bend. 凡事都有個度。 fánshì dōu yǒu ge dù. Everything has its limit. 4 tolerance; magnanimity See 20325632度量du4liang4度量 5 consideration 置之度外 zhìzhīdùwài give no thought of 6 occasion; time 一年一度 yīnián-yīdù once a year 7 rules; code of conduct See 36302848制度zhi4du4制度 8 manner; temperament; disposition See 21037824風度feng1du4風度;31095040態度tai4du5 態度 9 limited time or space See 22157568國度guo2du4國度;27325952年度nian2du4 年度  verb 1 spend; pass 在農村度過童年 zài nóngcūn dùguò tóngnián spend one’s childhood in the countryside 2 (of Buddhist monks or nuns, or Taoist priests) preach; convert; proselytize See 18447360超度chao1du4超度;31337984剃度ti4du4 剃度  measure word 1 unit of measurement for angles, temperature, etc.; degree 北緯三十八度 Běiwěi sānshíbā dù latitude 38°N. 直角為九十度。 Zhíjiǎo wéi jiǔshí dù. A right angle measures 90 degrees. 水的沸點是一百攝氏度。 shuǐ de fèidiǎn shì yībǎi shèshì dù. The boiling point of water is 100 degrees centigrade. 這種酒五十度。 Zhè zhǒng jiǔ wǔshí dù. This spirit contains 50 per cent alcohol. 您的眼鏡多少度？ Nín de yǎnjìng duōshao dù？ What’s the strength of the lenses of your glasses? 2 electricity kilowatt-hour (kWh)
溫度	wen1du4	noun temperature
零下	ling2xia4	below zero
感覺	gan3jue2	noun sense perception; sensation; feeling 概念同感覺的區別 Gàiniàn tóng gǎnjué de qūbié the difference between concepts and perceptions 他給人以親切的感覺。 Tā gěi rén yǐ qīnqiè de gǎnjué. He gives the impression of being a kind man.  verb feel; perceive; become aware of; realise 感覺別扭 gǎnjué bièniu feel awkward 感覺有點兒冷 gǎnjué yǒudiǎnr lěng feel a bit cold 感覺渾身無力 gǎnjué húnshēn wúlì feel weak all over 感覺到問題的嚴重性 gǎnjué dào wèntí de yánzhòngxìng become aware of the seriousness of the matter 你感覺怎麼樣？ Nǐ gǎnjué zěnmeyàng？ How do you feel?
實際	shi2ji4	noun reality; practice 客觀實際 kèguān shíjì objective reality 從實際出發 cóng shíjì chūfā proceed from actual conditions; realistic 理論和實際 lǐlùn hé shíjì theory and practice 切合當地實際 qièhé dāngdì shíjì suit local conditions 思想經常會落後於實際。 sīxiǎng jīngcháng huì luòhòu yú shíjì. Thinking often lags behind reality.  adjective 1 practical; realistic 實際經驗 shíjì jīngyàn practical experience 你這種想法不實際。 Nǐ zhèzhǒng xiǎngfa bù shíjì. You are being unrealistic. 2 real; actual; concrete 實際的例子 shíjì de lìzi concrete instance 實際生活水平 shíjì shēnghuó shuǐpíng real standard of living 實際使用投資 shíjì shǐyòng tóuzī actual utilized investment 石油產量實際增長百分之四。 shíyóu chǎnliàng shíjì zēngzhǎng bǎi fēnzhī sì. Oil production increased by 4% in real terms.
難怪	nan2guai4	verb be understandable; be pardonable 他不大了解情況, 搞錯了也難怪。 Tā bù dà liǎojiě qíngkuàng, gǎo cuò le yě nánguài. His mistakes are understandable since he knows so little about the situation.  adverb no wonder; not surprising 難怪找不到人, 都開會去了。 Nánguài zhǎo bù dào rén, dōu kāi huì qù le. No wonder there is nobody here, they’re all at a meeting. 你吃得這麼多, 難怪睡不好覺。 nǐ chīde zhème duō, nánguài shuìbuhǎo jué. When you eat so much, small wonder you don’t sleep well.
季節	ji4jie2	noun season 旅遊季節 lǚyóu jìjié tourist season 農忙季節 Nóngmáng jìjié busy farming season
火鍋	huo3guo1	noun chafing dish; hotpot 火鍋底料 huǒguō dǐ liào (hotpot) broth 吃火鍋 chī huǒguō eat hotpot dishes 涮火鍋 shuàn huǒguō cook in a hotpot
海鮮	hai3xian1	noun seafood
新鮮	xin1xian1	adjective 1 fresh 新鮮空氣 xīnxian kōngqì fresh air 新鮮牛奶 xīnxian niúnǎi fresh milk 新鮮血液 xīnxian xuèyè fresh (or new) blood; new members (or forces); newcomer 新鮮的水果 xīnxian de shuǐguǒ fresh fruit 嘗個新鮮 Cháng ge xīnxian have a taste of what is just in season 魚有點兒不新鮮了。 yú yǒudiǎnr bù xīnxian le. The fish is slightly off. 2 new; novel; strange 新鮮經驗 xīnxian jīngyàn new (or fresh) experience 這話真新鮮。 Zhè huà zhēn xīnxian. That’s a strange thing to say.
櫻花	ying1hua1	noun oriental cherry 日本櫻花 Rìběn yīnghuā Japanese flowering cherry
變化	bian4hua4	noun change; variation 氣溫的變化 qìwēn de biànhuà variations (or fluctuations) of temperature 經歷重大變化 Jīnglì zhòngdà biànhuà undergo substantial changes (or huge transformations) 家鄉有了很大的變化。 jiāxiāng yǒule hěn dà debiànhuà. Great changes have taken place in my home village.  verb change; vary 變化無常 biànhuà-wúcháng constantly changing; changeable; capricious 他發球變化多端。 Tā fāqiú biànhuàduōduān. He has great variety in his serves. or He has tricky serves.
氣溫	qi4wen1	noun air (or atmospheric) temperature
差	cha1	noun 1 difference; dissimilarity 時差 shíchā jet lag See 18244096差別cha1bie2差別 2 mathematics difference 兩數之差為四。 Liǎng shù zhī chā wéi sì. The difference between the two figures is 4.  adverb literary only just; barely 差可 chākě barely passable
幾乎	ji1hu1	adverb almost; nearly; practically 幾乎不可能 jīhū bù kěnéng next to impossible; scarcely possible 幾乎沒摔倒 jīhū méi shuāidǎo nearly fall down 幾乎一夜沒睡 jīhū yī yè méi shuì lay awake almost the whole night 你比我幾乎高了一頭。 Nǐ bǐ wǒ jīhū gāo le yī tóu. You’re nearly a head taller than I. 故鄉變化太大, 我幾乎認不出來了。 gùxiāng biànhuà tài dà, wǒ jīhū rènbuchūlái le. My hometown had changed so much that I could hardly recognize it. 我在物理學方面的知識幾乎等於零。 Wǒ zài wùlǐxué fāngmiàn de zhīshi jīhū děngyú líng. My knowledge of physics is practically nil.
